"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年9月6日","4,426.00","4,432.00","4,456.00","4,387.00","0.14K","0.09%"
"2019年9月5日","4,422.00","4,411.00","4,505.00","4,176.00","0.13K","-0.45%"
"2019年9月4日","4,442.00","4,365.00","4,462.00","4,365.00","0.24K","4.69%"
"2019年9月3日","4,243.00","4,100.00","4,281.00","4,100.00","0.45K","5.05%"
"2019年9月2日","4,039.00","4,077.00","4,128.00","4,010.00","1.06K","-0.20%"
"2019年8月30日","4,047.00","4,125.00","4,137.00","3,985.00","25.10K","-3.25%"
"2019年8月29日","4,183.00","4,211.00","4,237.00","4,125.00","13.96K","-2.22%"
"2019年8月28日","4,278.00","4,257.00","4,324.00","4,224.00","14.85K","-2.53%"
"2019年8月27日","4,389.00","4,389.00","4,389.00","4,389.00","-","-5.12%"
"2019年8月26日","4,626.00","4,488.00","4,890.00","4,488.00","0.01K","3.10%"
"2019年8月23日","4,487.00","4,487.00","4,488.00","4,487.00","0.01K","5.98%"
"2019年8月22日","4,234.00","4,234.00","4,234.00","4,234.00","0.00K","-3.77%"
"2019年8月21日","4,400.00","4,440.00","4,440.00","4,360.00","0.00K","0.64%"
"2019年8月20日","4,372.00","4,372.00","4,372.00","4,372.00","-","0.00%"
"2019年8月19日","4,372.00","4,372.00","4,372.00","4,372.00","-","0.00%"
"2019年8月16日","4,372.00","4,390.00","4,415.00","4,222.00","0.01K","3.60%"
"2019年8月15日","4,220.00","4,220.00","4,220.00","4,220.00","0.01K","0.24%"
"2019年8月14日","4,210.00","4,210.00","4,210.00","4,210.00","-","0.00%"
"2019年8月13日","4,210.00","4,210.00","4,210.00","4,210.00","-","0.00%"
"2019年8月12日","4,210.00","4,210.00","4,210.00","4,210.00","0.00K","0.79%"
"2019年8月9日","4,177.00","4,310.00","4,310.00","4,137.00","0.02K","-5.07%"
"2019年8月8日","4,400.00","4,400.00","4,400.00","4,400.00","0.01K","2.09%"
"2019年8月7日","4,310.00","4,310.00","4,310.00","4,310.00","0.02K","0.47%"
"2019年8月6日","4,290.00","4,260.00","4,310.00","4,260.00","0.09K","0.12%"
"2019年8月5日","4,285.00","4,390.00","4,390.00","4,227.00","0.01K","-1.43%"
